algorithm,message_size,operation,sample,peak_python_heap_bytes,current_python_heap_bytes
Ascon-AEAD128,1024,decrypt,15,8617,4008
Ascon-AEAD128,1024,decrypt,16,8617,4008
Ascon-AEAD128,1024,decrypt,17,8617,4008
Ascon-AEAD128,1024,decrypt,18,8617,4008
Ascon-AEAD128,1024,decrypt,19,8617,4008
Ascon-AEAD128,1024,decrypt,20,8617,4008
Ascon-AEAD128,2048,encrypt,1,10481,3880
Ascon-AEAD128,2048,encrypt,2,10481,3880
Ascon-AEAD128,2048,encrypt,3,10481,3880
Ascon-AEAD128,2048,encrypt,4,10481,3880
Ascon-AEAD128,2048,encrypt,5,10481,3880
Ascon-AEAD128,2048,encrypt,6,10481,3880
Ascon-AEAD128,2048,encrypt,7,10481,3880
Ascon-AEAD128,2048,encrypt,8,10481,3880
Ascon-AEAD128,2048,encrypt,9,10481,3880
Ascon-AEAD128,2048,encrypt,10,10481,3880
