algorithm,tier,role,message_size,operation,samples,repetitions,batch_size,mean_ns,median_ns,stdev_ns,min_ns,max_ns,ci95_half_width_ns,ci95_lower_ns,ci95_upper_ns,mean_us,median_us,between_run_stdev_ns,throughput_mb_s_mean,throughput_mb_s_median,operations_per_second,ciphertext_size
GIFT-COFB,pure-python,"NIST-LWC finalist (block-cipher based, not a sponge)",256,encrypt,1000,10,1,5774560.363,5649707.0,597325.6124484519,5447678.0,10545752.0,37022.62502580584,5737537.737974194,5811582.988025806,5774.560363,5649.707,160186.52214593007,0.04433237924748316,0.045312084325788926,173.17335643548108,272
GIFT-COFB,pure-python,"NIST-LWC finalist (block-cipher based, not a sponge)",512,decrypt,1000,10,1,10339849.482,10223131.5,468927.6529857697,9815649.0,13281664.0,29064.437048932952,10310785.044951068,10368913.919048933,10339.849482000001,10223.1315,135246.91610983055,0.04951716182051865,0.05008250162878175,96.7132066807005,528
GIFT-COFB,pure-python,"NIST-LWC finalist (block-cipher based, not a sponge)",512,encrypt,1000,10,1,10411715.769,10221831.5,734864.9843711472,9841450.0,17927579.0,45547.40361701054,10366168.365382988,10457263.17261701,10411.715768999999,10221.8315,264877.1983738463,0.049175372374689344,0.05008887105994654,96.04564916931513,528
GIFT-COFB,pure-python,"NIST-LWC finalist (block-cipher based, not a sponge)",1024,decrypt,1000,10,1,19517172.98,19301943.5,1167558.5962096278,18621685.0,34944577.0,72366.03152833268,19444806.94847167,19589539.01152833,19517.17298,19301.9435,472018.9547415262,0.05246661496771752,0.05305165254472949,51.23692867941164,1040
GIFT-COFB,pure-python,"NIST-LWC finalist (block-cipher based, not a sponge)",1024,encrypt,1000,10,1,19503568.686,19160767.0,1581204.1930085877,18581136.0,36608029.0,98004.0512360263,19405564.634763975,19601572.737236027,19503.568686000002,19160.767,591523.4502290827,0.0525032119242385,0.053442537034138565,51.27266789476417,1040
GIFT-COFB,pure-python,"NIST-LWC finalist (block-cipher based, not a sponge)",2048,decrypt,1000,10,1,37678493.721,37398867.5,1630609.0005538932,36232532.0,63644338.0,101066.19293245288,37577427.52806755,37779559.91393245,37678.493721,37398.8675,391868.1612306473,0.054354614469594706,0.054761016493347026,26.54033909648179,2064
GIFT-COFB,pure-python,"NIST-LWC finalist (block-cipher based, not a sponge)",2048,encrypt,1000,10,1,37825727.48,37595392.0,1261152.211630344,36170188.0,47625336.0,78167.02391224739,37747560.456087746,37903894.50391225,37825.727479999994,37595.392,593565.2563740768,0.054143043278754154,0.05447476116221903,26.437032850954175,2064
GIFT-COFB,pure-python,"NIST-LWC finalist (block-cipher based, not a sponge)",4096,decrypt,1000,10,1,74299007.19,74082565.5,2265963.402847581,71183779.0,95274291.0,140445.86677264696,74158561.32322735,74439453.05677265,74299.00719,74082.5655,1040357.928532374,0.05512859666516898,0.05528966191107407,13.45913004520727,4112
GIFT-COFB,pure-python,"NIST-LWC finalist (block-cipher based, not a sponge)",4096,encrypt,1000,10,1,74639401.055,73848949.0,4069181.8010865157,71052736.0,117392923.0,252210.5010128965,74387190.55398712,74891611.5560129,74639.40105500001,73848.949,1685771.8939708492,0.0548771820527037,0.05546456727501972,13.397749524585864,4112
Schwaemm256-128,pure-python,NIST-LWC finalist (SPARKLE; software-oriented ARX),32,decrypt,1000,10,1,581785.309,573642.5,57956.713234607065,533748.0,1868991.0,3592.1943025642263,578193.1146974358,585377.5033025643,581.785309,573.6425,14571.585569117779,0.0550031076841784,0.05578387235952706,1718.8471151305748,48
