algorithm,tier,message_size,operation,sample,peak_python_heap_bytes,current_python_heap_bytes
TinyJAMBU-128,pure-python,256,decrypt,10,1825,288
TinyJAMBU-128,pure-python,512,encrypt,1,2412,288
TinyJAMBU-128,pure-python,512,encrypt,2,2412,288
TinyJAMBU-128,pure-python,512,encrypt,3,2412,288
TinyJAMBU-128,pure-python,512,encrypt,4,2412,288
TinyJAMBU-128,pure-python,512,encrypt,5,2412,288
TinyJAMBU-128,pure-python,512,encrypt,6,2412,288
TinyJAMBU-128,pure-python,512,encrypt,7,2412,288
TinyJAMBU-128,pure-python,512,encrypt,8,2412,288
TinyJAMBU-128,pure-python,512,encrypt,9,2412,288
TinyJAMBU-128,pure-python,512,encrypt,10,2412,288
TinyJAMBU-128,pure-python,512,decrypt,1,2428,288
TinyJAMBU-128,pure-python,512,decrypt,2,2428,288
TinyJAMBU-128,pure-python,512,decrypt,3,2428,288
TinyJAMBU-128,pure-python,512,decrypt,4,2428,288
TinyJAMBU-128,pure-python,512,decrypt,5,2428,288
TinyJAMBU-128,pure-python,512,decrypt,6,2428,288
TinyJAMBU-128,pure-python,512,decrypt,7,2428,288
TinyJAMBU-128,pure-python,512,decrypt,8,2428,288
TinyJAMBU-128,pure-python,512,decrypt,9,2428,288
TinyJAMBU-128,pure-python,512,decrypt,10,2428,288
TinyJAMBU-128,pure-python,1024,encrypt,1,3945,288
TinyJAMBU-128,pure-python,1024,encrypt,2,3945,288
TinyJAMBU-128,pure-python,1024,encrypt,3,3945,288
TinyJAMBU-128,pure-python,1024,encrypt,4,3945,288
TinyJAMBU-128,pure-python,1024,encrypt,5,3945,288
TinyJAMBU-128,pure-python,1024,encrypt,6,3945,288
TinyJAMBU-128,pure-python,1024,encrypt,7,3945,288
TinyJAMBU-128,pure-python,1024,encrypt,8,3945,288
TinyJAMBU-128,pure-python,1024,encrypt,9,3945,288
TinyJAMBU-128,pure-python,1024,encrypt,10,3945,288
TinyJAMBU-128,pure-python,1024,decrypt,1,3965,288
TinyJAMBU-128,pure-python,1024,decrypt,2,3965,288
TinyJAMBU-128,pure-python,1024,decrypt,3,3965,288
TinyJAMBU-128,pure-python,1024,decrypt,4,3965,288
TinyJAMBU-128,pure-python,1024,decrypt,5,3965,288
TinyJAMBU-128,pure-python,1024,decrypt,6,3965,288
TinyJAMBU-128,pure-python,1024,decrypt,7,3965,288
TinyJAMBU-128,pure-python,1024,decrypt,8,3965,288
TinyJAMBU-128,pure-python,1024,decrypt,9,3965,288
TinyJAMBU-128,pure-python,1024,decrypt,10,3965,288
TinyJAMBU-128,pure-python,2048,encrypt,1,7231,288
TinyJAMBU-128,pure-python,2048,encrypt,2,7231,288
TinyJAMBU-128,pure-python,2048,encrypt,3,7231,288
TinyJAMBU-128,pure-python,2048,encrypt,4,7231,288
TinyJAMBU-128,pure-python,2048,encrypt,5,7231,288
TinyJAMBU-128,pure-python,2048,encrypt,6,7231,288
TinyJAMBU-128,pure-python,2048,encrypt,7,7231,288
TinyJAMBU-128,pure-python,2048,encrypt,8,7231,288
TinyJAMBU-128,pure-python,2048,encrypt,9,7231,288
TinyJAMBU-128,pure-python,2048,encrypt,10,7231,288
TinyJAMBU-128,pure-python,2048,decrypt,1,7255,288
TinyJAMBU-128,pure-python,2048,decrypt,2,7255,288
TinyJAMBU-128,pure-python,2048,decrypt,3,7255,288
TinyJAMBU-128,pure-python,2048,decrypt,4,7255,288
TinyJAMBU-128,pure-python,2048,decrypt,5,7255,288
TinyJAMBU-128,pure-python,2048,decrypt,6,7255,288
TinyJAMBU-128,pure-python,2048,decrypt,7,7255,288
TinyJAMBU-128,pure-python,2048,decrypt,8,7255,288
TinyJAMBU-128,pure-python,2048,decrypt,9,7255,288
TinyJAMBU-128,pure-python,2048,decrypt,10,7255,288
TinyJAMBU-128,pure-python,4096,encrypt,1,13181,288
TinyJAMBU-128,pure-python,4096,encrypt,2,13181,288
TinyJAMBU-128,pure-python,4096,encrypt,3,13181,288
TinyJAMBU-128,pure-python,4096,encrypt,4,13181,288
TinyJAMBU-128,pure-python,4096,encrypt,5,13181,288
